course_code,assignment_title,due_date,question,option_a,option_b,option_c,option_d,correct_option,marks,explanation
UPSC-GS1,"Unit 1 Comprehensive MCQ Assessment","2026-09-21 23:59:00","Which data structure follows the Last-In-First-Out (LIFO) principle?",Queue,Stack,Array,"Linked List",B,1,"Stack operates on LIFO where the most recently added item is removed first."
UPSC-GS1,"Unit 1 Comprehensive MCQ Assessment","2026-09-21 23:59:00","What is the average time complexity of searching in a Hash Table?",O(1),O(n),"O(log n)","O(n log n)",A,1,"Hash tables have an average constant time complexity O(1) for lookups."
UPSC-GS1,"Unit 1 Comprehensive MCQ Assessment","2026-09-21 23:59:00","Which of the following sorting algorithms has the best worst-case time complexity?","Quick Sort","Bubble Sort","Merge Sort","Selection Sort",C,1,"Merge Sort guarantees O(n log n) in all cases including worst case."
UPSC-GS1,"Unit 1 Comprehensive MCQ Assessment","2026-09-21 23:59:00","Which protocol is primarily used for secure web browsing communication?",HTTP,FTP,HTTPS,SMTP,C,1,"HTTPS encrypts communication between the client browser and web server using TLS/SSL."
UPSC-GS1,"Unit 1 Comprehensive MCQ Assessment","2026-09-21 23:59:00","In relational databases, which normal form eliminates transitive dependencies?","First Normal Form (1NF)","Second Normal Form (2NF)","Third Normal Form (3NF)","Boyce-Codd Normal Form (BCNF)",C,1,"3NF requires 2NF and that no non-prime attribute is transitively dependent on the primary key."
UPSC-GS1,"Unit 1 Comprehensive MCQ Assessment","2026-09-21 23:59:00","Which layer of the OSI model is responsible for end-to-end reliable transmission and flow control?","Network Layer","Transport Layer","Data Link Layer","Session Layer",B,1,"The Transport Layer (TCP/UDP) handles end-to-end communication, flow control, and error recovery."
UPSC-GS1,"Unit 1 Comprehensive MCQ Assessment","2026-09-21 23:59:00","What is the main purpose of an index in a database table?","To store backup copies of rows","To speed up data retrieval operations","To encrypt sensitive column values","To enforce foreign key cascading",B,1,"Indexes allow database engines to quickly locate rows without scanning the entire table."
UPSC-GS1,"Unit 1 Comprehensive MCQ Assessment","2026-09-21 23:59:00","In Object-Oriented Programming, what is the ability of different classes to respond to the same method call called?",Encapsulation,Inheritance,Polymorphism,Abstraction,C,1,"Polymorphism allows objects of different types to be treated through a common interface."
UPSC-GS1,"Unit 1 Comprehensive MCQ Assessment","2026-09-21 23:59:00","Which graph traversal algorithm uses a FIFO Queue data structure?","Depth-First Search (DFS)","Breadth-First Search (BFS)","Dijkstra Algorithm with recursion","Topological Sort with stack",B,1,"BFS explores vertices level-by-level using a FIFO Queue."
UPSC-GS1,"Unit 1 Comprehensive MCQ Assessment","2026-09-21 23:59:00","What does ACID stand for in the context of database transactions?","Atomicity, Consistency, Isolation, Durability","Accuracy, Concurrency, Integrity, Durability","Authentication, Security, Isolation, Data","Action, Consistency, Indexing, Distribution",A,1,"ACID properties ensure reliable processing of database transactions."
